epoch,elbo
1,-145.2978515625
2,-107.12632751464844
3,-134.8135528564453
4,-293.5304260253906
5,-90.50504302978516
6,-106.94631958007812
7,-205.47264099121094
8,-213.3165283203125
9,-139.4050750732422
10,-120.2519302368164
11,-126.70381927490234
12,-187.05332946777344
13,-129.34657287597656
14,-84.04654693603516
15,-115.77703094482422
16,-89.62644958496094
17,-111.4361572265625
18,-111.91670989990234
19,-185.653564453125
20,-89.53728485107422
21,-113.38526916503906
22,-167.57305908203125
23,-180.95941162109375
24,-125.38209533691406
25,-140.80015563964844
26,-76.19265747070312
27,-116.16525268554688
28,-135.3356170654297
29,-161.3702392578125
30,-101.26544189453125
31,-97.37763214111328
32,-80.66938781738281
33,-90.73209381103516
34,-126.62345886230469
35,-163.14846801757812
36,-141.9303741455078
37,-113.0379867553711
38,-126.47953796386719
39,-110.39306640625
40,-108.04293823242188
41,-94.05947875976562
42,-134.4827423095703
43,-133.34547424316406
44,-110.6396713256836
45,-69.69093322753906
46,-109.2816162109375
47,-108.94223022460938
48,-112.85733032226562
49,-124.35420227050781
50,-79.97815704345703
